id,category
S8770,3
S2423,4
S5149,4
S9160,5
S8569,4
S8269,0
S2314,5
S7159,0
S1145,0
S5512,5
S7011,1
S3280,0
S4210,0
S6490,1
S4081,5
S8320,3
S5380,3
S1740,3
S1245,1
S6099,3
S2146,3
S1938,1
S2028,4
S3134,1
S2924,5
S7073,1
S6223,1
S4067,0
S6423,5
S6216,1
S6177,3
S1484,5
S8257,1
S8657,3
S1009,4
S1064,0
S1029,1
S147,1
S997,1
S2932,5
S9201,5
S3914,5
S3051,0
S5102,0
S2711,3
S547,5
S8400,1
S1517,1
S7828,1
S2633,5
S6609,4
S3961,4
S348,1
S5009,0
S1419,5
S5555,1
S8734,5
S8262,5
S4575,4
S2684,5
S9202,1
S3839,1
S532,4
S5620,4
S6650,1
S1422,3
S4781,3
S6975,1
S5934,4
S2464,1
S7110,4
S4493,4
S6823,3
S7983,1
S5743,5
S4307,1
S2202,5
S3414,5
S8735,0
S5982,4
S5736,1
S8367,4
S7503,4
S1782,3
S768,3
S9222,1
S972,0
S121,1
S7966,0
S8092,4
S8444,1
S2147,0
S7872,0
S3531,0
S5103,0
S6770,0
S6377,1
S2937,4
S8173,5
S7973,0
S3138,3
S2626,4
S8481,1
S642,0
S1316,1
S6738,5
S9067,0
S186,0
S993,1
S9101,0
S2023,1
S1201,1
S9418,5
S2651,5
S283,5
S4261,3
S7552,4
S6202,0
S2448,0
S3021,3
S2716,1
S8751,0
S7211,1
S7468,5
S9237,5
S6443,1
S8051,5
S489,3
S1579,4
S8153,5
S7344,0
S8456,3
S9425,5
S2417,0
S6156,0
S6667,3
S5880,1
S4059,4
S2657,0
S5318,1
S7416,0
S5293,0
S1496,1
S5466,0
S2341,0
S6128,0
S4146,0
S4572,1
S7396,4
S3965,1
S8578,5
S4007,1
S511,4
S6035,3
S9191,0
S9032,0
S5370,1
S8811,3
S4254,0
S4038,1
S5534,0
S8761,4
S9146,1
S7774,4
S239,3
S4928,3
S7280,5
S6335,1
S1179,5
S4921,4
S5147,1
S8132,5
S362,5
S8384,5
S2208,4
S6761,1
S1573,1
S5471,0
S5660,0
S7169,0
S5213,0
S5498,1
S3582,1
S1299,5
S3324,4
S4538,1
S2846,0
S946,1
S2641,1
S7098,1
S4585,1
S9318,3
S258,5
